N,E
3342178.566916,507042.599854
3342177.894952,507041.859270
3342177.222989,507041.118686
3342176.551025,507040.378101
3342175.879061,507039.637517
3342175.207098,507038.896933
3342174.535134,507038.156349
3342173.863171,507037.415764
3342173.191207,507036.675180
3342172.519244,507035.934596
3342171.847280,507035.194012
3342171.175317,507034.453427
3342170.503353,507033.712843
3342169.831390,507032.972259
3342169.159426,507032.231675
3342168.487463,507031.491090
3342167.815499,507030.750506
3342167.143536,507030.009922
3342166.471572,507029.269338
3342165.799609,507028.528753
3342165.127645,507027.788169
3342164.455682,507027.047585
3342163.783718,507026.307001
3342163.111755,507025.566416
3342162.439791,507024.825832
3342161.767827,507024.085248
3342161.095864,507023.344664
3342160.423900,507022.604079
3342159.751937,507021.863495
3342159.079973,507021.122911
3342158.408010,507020.382327
3342157.736046,507019.641743
3342157.064083,507018.901158
3342156.392119,507018.160574
3342155.720156,507017.419990
3342155.048192,507016.679406
3342154.376229,507015.938821
3342153.704265,507015.198237
3342153.032302,507014.457653
3342152.360338,507013.717069
3342151.688375,507012.976484
3342151.016411,507012.235900
3342150.344448,507011.495316
3342149.672484,507010.754732
3342149.000521,507010.014147
3342148.328557,507009.273563
3342147.656594,507008.532979
3342146.984630,507007.792395
3342146.312666,507007.051810
3342145.640703,507006.311226
3342144.968739,507005.570642
3342144.296776,507004.830058
3342143.624812,507004.089473
3342142.952849,507003.348889
3342142.280885,507002.608305
3342141.608922,507001.867721
3342140.936958,507001.127136
3342140.264995,507000.386552
3342139.593031,506999.645968
3342138.921068,506998.905384
3342138.249104,506998.164799
3342137.577141,506997.424215
3342136.905177,506996.683631
3342136.233214,506995.943047
3342135.561250,506995.202462
3342134.889287,506994.461878
3342134.217323,506993.721294
3342133.545360,506992.980710
3342132.873396,506992.240125
3342132.201432,506991.499541
3342131.529469,506990.758957
3342130.857505,506990.018373
3342130.185542,506989.277788
3342129.513578,506988.537204
3342128.841615,506987.796620
3342128.169651,506987.056036
3342127.497688,506986.315452
3342126.825724,506985.574867
3342126.153761,506984.834283
3342125.481797,506984.093699
3342124.809834,506983.353115
3342124.137870,506982.612530
3342123.465907,506981.871946
3342122.793943,506981.131362
3342122.121980,506980.390778
3342121.450016,506979.650193
3342120.778053,506978.909609
3342120.106089,506978.169025
3342119.434126,506977.428441
3342118.762162,506976.687856
3342118.090198,506975.947272
3342117.418235,506975.206688
3342116.746271,506974.466104
3342116.074308,506973.725519
3342115.402344,506972.984935
3342114.730381,506972.244351
3342114.058417,506971.503767
3342113.386454,506970.763182
3342112.714490,506970.022598
3342112.042527,506969.282014
3342111.370563,506968.541430
3342110.698600,506967.800845
3342110.026636,506967.060261
3342109.354673,506966.319677
3342108.682709,506965.579093
3342108.010746,506964.838508
3342107.338782,506964.097924
3342106.666819,506963.357340
3342105.994855,506962.616756
3342105.322892,506961.876171
3342104.650928,506961.135587
3342103.978964,506960.395003
3342103.307001,506959.654419
3342102.635037,506958.913834
3342101.963074,506958.173250
3342101.291110,506957.432666
3342100.619147,506956.692082
3342099.947183,506955.951497
3342099.275220,506955.210913
3342098.603256,506954.470329
3342097.931293,506953.729745
3342097.259329,506952.989161
3342096.587366,506952.248576
3342095.915402,506951.507992
3342095.243439,506950.767408
3342094.571475,506950.026824
3342093.899512,506949.286239
3342093.227548,506948.545655
3342092.555585,506947.805071
3342091.883621,506947.064487
3342091.211658,506946.323902
3342090.539694,506945.583318
3342089.867730,506944.842734
3342089.195767,506944.102150
3342088.523803,506943.361565
3342087.851840,506942.620981
3342087.179876,506941.880397
3342086.507913,506941.139813
3342085.835949,506940.399228
3342085.163986,506939.658644
3342084.492022,506938.918060
3342083.820059,506938.177476
3342083.148095,506937.436891
3342082.476132,506936.696307
3342081.804168,506935.955723
3342081.132205,506935.215139
3342080.460241,506934.474554
3342079.788278,506933.733970
3342079.116314,506932.993386
3342078.444351,506932.252802
3342077.772387,506931.512217
3342077.100424,506930.771633
