N,E
3338706.397840,502601.220325
3338705.963854,502600.319406
3338705.529958,502599.418443
3338705.096152,502598.517436
3338704.662436,502597.616387
3338704.228810,502596.715294
3338703.795274,502595.814157
3338703.361829,502594.912978
3338702.928473,502594.011755
3338702.495208,502593.110488
3338702.062032,502592.209178
3338701.628947,502591.307825
3338701.195952,502590.406429
3338700.763048,502589.504989
3338700.330233,502588.603506
3338699.897508,502587.701980
3338699.464874,502586.800411
3338699.032330,502585.898798
3338698.599876,502584.997142
3338698.167512,502584.095443
3338697.735238,502583.193700
3338697.303055,502582.291915
3338696.870961,502581.390086
3338696.438958,502580.488214
3338696.007045,502579.586299
3338695.575222,502578.684340
3338695.143490,502577.782338
3338694.711847,502576.880294
3338694.280295,502575.978206
3338693.848833,502575.076075
3338693.417461,502574.173900
3338692.986180,502573.271683
3338692.554989,502572.369422
3338692.123887,502571.467119
3338691.692877,502570.564772
3338691.261956,502569.662382
3338690.831126,502568.759949
3338690.400385,502567.857473
3338689.969736,502566.954954
3338689.539176,502566.052392
3338689.108707,502565.149787
3338688.678327,502564.247139
3338688.248039,502563.344447
3338687.817840,502562.441713
3338687.387732,502561.538936
3338686.957714,502560.636115
3338686.527786,502559.733252
3338686.097949,502558.830346
3338685.668201,502557.927397
3338685.238545,502557.024404
3338684.808978,502556.121369
3338684.379502,502555.218291
3338683.950116,502554.315170
3338683.520820,502553.412006
3338683.091615,502552.508799
3338682.662500,502551.605549
3338682.233475,502550.702256
3338681.804541,502549.798921
3338681.375697,502548.895542
3338680.946943,502547.992120
3338680.518280,502547.088656
3338680.089707,502546.185149
3338679.661225,502545.281599
3338679.232832,502544.378006
3338678.804530,502543.474370
3338678.376319,502542.570692
3338677.948198,502541.666970
3338677.520167,502540.763206
3338677.092227,502539.859399
3338676.664377,502538.955550
3338676.236617,502538.051657
3338675.808948,502537.147722
3338675.381369,502536.243744
3338674.953881,502535.339723
3338674.526482,502534.435659
3338674.099175,502533.531553
3338673.671958,502532.627404
3338673.244831,502531.723212
3338672.817794,502530.818978
3338672.390849,502529.914701
3338671.963993,502529.010381
3338671.537228,502528.106018
3338671.110553,502527.201613
3338670.683969,502526.297165
3338670.257475,502525.392675
3338669.831072,502524.488142
3338669.404759,502523.583566
3338668.978537,502522.678947
3338668.552405,502521.774286
3338668.126363,502520.869583
3338667.700412,502519.964836
3338667.274552,502519.060048
3338666.848782,502518.155216
3338666.423102,502517.250342
3338665.997513,502516.345426
3338665.572015,502515.440467
3338665.146607,502514.535465
3338664.721289,502513.630421
3338664.296062,502512.725334
3338663.870926,502511.820205
3338663.445880,502510.915033
3338663.020924,502510.009819
3338662.596059,502509.104562
3338662.171285,502508.199263
3338661.746601,502507.293921
3338661.322007,502506.388537
3338660.897505,502505.483110
3338660.473092,502504.577641
3338660.048771,502503.672130
3338659.624539,502502.766576
3338659.200399,502501.860980
3338658.776349,502500.955341
3338658.352389,502500.049660
3338657.928520,502499.143936
3338657.504742,502498.238170
3338657.081054,502497.332362
3338656.657457,502496.426511
3338656.233950,502495.520618
3338655.810534,502494.614683
3338655.387209,502493.708705
3338654.963974,502492.802685
3338654.540830,502491.896623
3338654.117776,502490.990518
3338653.694813,502490.084371
3338653.271941,502489.178182
3338652.849159,502488.271951
3338652.426468,502487.365677
3338652.003867,502486.459361
3338651.581357,502485.553002
3338651.158938,502484.646602
3338650.736610,502483.740159
3338650.314372,502482.833674
3338649.892224,502481.927147
3338649.470168,502481.020577
3338649.048202,502480.113966
3338648.626326,502479.207312
3338648.204542,502478.300616
3338647.782848,502477.393878
3338647.361244,502476.487097
3338646.939732,502475.580275
3338646.518310,502474.673410
3338646.096979,502473.766503
3338645.675738,502472.859554
3338645.254588,502471.952563
3338644.833529,502471.045530
3338644.412561,502470.138455
3338643.991683,502469.231337
3338643.570896,502468.324178
3338643.150199,502467.416976
3338642.729594,502466.509733
3338642.309079,502465.602447
3338641.888655,502464.695119
3338641.468321,502463.787750
3338641.048079,502462.880338
3338640.627927,502461.972884
3338640.207866,502461.065388
3338639.787895,502460.157851
3338639.368016,502459.250271
3338638.948227,502458.342649
3338638.528529,502457.434985
3338638.108921,502456.527280
3338637.689405,502455.619532
3338637.269979,502454.711742
3338636.850644,502453.803911
3338636.431399,502452.896037
3338636.012246,502451.988122
3338635.593183,502451.080165
3338635.174211,502450.172165
3338634.755330,502449.264124
3338634.336540,502448.356041
3338633.917841,502447.447916
3338633.499232,502446.539750
3338633.080714,502445.631541
3338632.662287,502444.723291
3338632.243951,502443.814998
3338631.825706,502442.906664
3338631.407551,502441.998288
3338630.989487,502441.089871
3338630.571515,502440.181411
3338630.153633,502439.272910
3338629.735842,502438.364367
3338629.318141,502437.455782
3338628.900532,502436.547155
3338628.483013,502435.638487
3338628.065586,502434.729777
3338627.648249,502433.821025
3338627.231003,502432.912231
3338626.813848,502432.003396
3338626.396784,502431.094519
3338625.979810,502430.185600
3338625.562928,502429.276639
3338625.146137,502428.367637
3338624.729436,502427.458594
3338624.312826,502426.549508
3338623.896308,502425.640381
3338623.479880,502424.731212
3338623.063543,502423.822002
3338622.647297,502422.912750
3338622.231142,502422.003456
3338621.815078,502421.094121
3338621.399104,502420.184744
3338620.983222,502419.275325
3338620.567431,502418.365865
3338620.151731,502417.456364
3338619.736121,502416.546821
3338619.320603,502415.637236
3338618.905175,502414.727610
3338618.489839,502413.817942
3338618.074593,502412.908232
3338617.659438,502411.998481
3338617.244375,502411.088689
3338616.829402,502410.178855
3338616.414521,502409.268980
3338615.999730,502408.359063
3338615.585030,502407.449105
3338615.170422,502406.539105
3338614.755904,502405.629064
3338614.341477,502404.718981
3338613.927142,502403.808857
3338613.512897,502402.898691
3338613.098743,502401.988484
3338612.684681,502401.078236
3338612.270709,502400.167946
3338611.856829,502399.257615
3338611.443039,502398.347242
3338611.029341,502397.436828
3338610.615733,502396.526373
3338610.202217,502395.615876
3338609.788792,502394.705338
3338609.375457,502393.794759
3338608.962214,502392.884138
3338608.549062,502391.973476
3338608.136001,502391.062773
3338607.723031,502390.152028
3338607.310152,502389.241242
3338606.897364,502388.330415
3338606.484667,502387.419546
3338606.072062,502386.508637
3338605.659547,502385.597686
3338605.247124,502384.686693
3338604.834791,502383.775660
3338604.422550,502382.864585
3338604.010400,502381.953469
3338603.598341,502381.042312
3338603.186373,502380.131114
3338602.774496,502379.219874
3338602.362710,502378.308594
3338601.951016,502377.397272
3338601.539412,502376.485909
3338601.127900,502375.574504
3338600.716479,502374.663059
3338600.305149,502373.751573
3338599.893910,502372.840045
3338599.482762,502371.928476
3338599.071706,502371.016866
3338598.660741,502370.105215
3338598.249866,502369.193523
3338597.839083,502368.281790
3338597.428392,502367.370016
3338597.017791,502366.458201
3338596.607281,502365.546344
3338596.196863,502364.634447
3338595.786536,502363.722509
3338595.376300,502362.810529
3338594.966155,502361.898509
3338594.556102,502360.986447
3338594.146140,502360.074345
3338593.736268,502359.162201
3338593.326489,502358.250017
3338592.916800,502357.337791
3338592.507202,502356.425525
3338592.097696,502355.513218
3338591.688281,502354.600869
3338591.278958,502353.688480
3338590.869725,502352.776050
3338590.460584,502351.863579
3338590.051534,502350.951067
3338589.642575,502350.038514
3338589.233708,502349.125920
3338588.824931,502348.213286
3338588.416246,502347.300610
3338588.007653,502346.387894
3338587.599150,502345.475137
3338587.190739,502344.562339
3338586.782708,502343.649379
3338586.374476,502342.736500
3338585.966334,502341.823582
3338585.558284,502340.910622
3338585.150324,502339.997622
3338584.742455,502339.084582
3338584.334676,502338.171501
3338583.926988,502337.258380
3338583.519390,502336.345218
3338583.111882,502335.432016
3338582.704463,502334.518775
3338582.297135,502333.605493
3338581.889896,502332.692171
3338581.482746,502331.778809
3338581.075686,502330.865408
3338580.668715,502329.951967
3338580.261833,502329.038486
3338579.855040,502328.124966
3338579.448335,502327.211406
3338579.041719,502326.297807
3338578.635191,502325.384168
3338578.228752,502324.470491
3338577.822400,502323.556774
3338577.416137,502322.643018
3338577.009961,502321.729223
3338576.603873,502320.815389
3338576.197872,502319.901516
3338575.791958,502318.987604
3338575.386132,502318.073654
3338574.980393,502317.159665
3338574.574740,502316.245638
3338574.169175,502315.331572
3338573.763696,502314.417467
3338573.358303,502313.503325
3338572.952996,502312.589144
3338572.547776,502311.674925
3338572.142641,502310.760667
3338571.737593,502309.846372
3338571.332629,502308.932039
3338570.927752,502308.017668
3338570.522960,502307.103259
3338570.118253,502306.188813
3338569.713630,502305.274329
3338569.309093,502304.359807
3338568.904641,502303.445248
3338568.500273,502302.530652
3338568.095990,502301.616018
3338567.691790,502300.701347
3338567.287675,502299.786639
3338566.883644,502298.871893
3338566.479697,502297.957111
3338566.075833,502297.042292
3338565.672053,502296.127436
3338565.268357,502295.212543
3338564.864743,502294.297613
3338564.461213,502293.382647
3338564.057765,502292.467644
3338563.654400,502291.552605
3338563.251118,502290.637529
3338562.847918,502289.722417
3338562.444801,502288.807269
3338562.041766,502287.892084
3338561.638812,502286.976864
3338561.235941,502286.061607
3338560.833151,502285.146314
3338560.430443,502284.230986
3338560.027816,502283.315622
3338559.625270,502282.400222
3338559.222806,502281.484786
3338558.820422,502280.569315
3338558.418119,502279.653808
3338558.015897,502278.738266
3338557.613755,502277.822689
3338557.211694,502276.907076
3338556.809713,502275.991428
3338556.407812,502275.075745
3338556.005990,502274.160027
3338555.604248,502273.244274
3338555.202586,502272.328486
3338554.801004,502271.412663
3338554.399500,502270.496806
3338553.998076,502269.580913
3338553.596730,502268.664987
3338553.195464,502267.749025
3338552.794276,502266.833029
3338552.393166,502265.916999
3338551.992135,502265.000935
3338551.591182,502264.084836
3338551.190307,502263.168703
3338550.789510,502262.252536
3338550.388791,502261.336336
3338549.988149,502260.420101
3338549.587585,502259.503832
3338549.187098,502258.587530
3338548.786688,502257.671194
3338548.386355,502256.754824
3338547.986099,502255.838420
3338547.585919,502254.921984
3338547.185816,502254.005513
3338546.785789,502253.089010
3338546.385839,502252.172473
3338545.985965,502251.255903
3338545.586166,502250.339300
3338545.186443,502249.422664
3338544.786796,502248.505995
3338544.387224,502247.589293
3338543.987728,502246.672558
3338543.588307,502245.755791
3338543.188960,502244.838991
3338542.789689,502243.922158
3338542.390492,502243.005293
3338541.991370,502242.088395
3338541.592322,502241.171465
3338541.193348,502240.254502
3338540.794448,502239.337508
3338540.395622,502238.420481
3338539.996870,502237.503422
3338539.598192,502236.586331
3338539.199587,502235.669209
3338538.801055,502234.752054
3338538.402597,502233.834868
3338538.004211,502232.917650
3338537.605898,502232.000400
3338537.207658,502231.083119
3338536.809491,502230.165806
3338536.411396,502229.248462
3338536.013373,502228.331086
3338535.615422,502227.413680
3338535.217543,502226.496242
3338534.819736,502225.578773
3338534.422000,502224.661272
3338534.024336,502223.743741
3338533.626744,502222.826179
3338533.229222,502221.908587
3338532.831771,502220.990963
3338532.434392,502220.073309
3338532.037083,502219.155624
3338531.639844,502218.237908
3338531.242676,502217.320163
3338530.845578,502216.402386
3338530.448550,502215.484580
3338530.051592,502214.566743
3338529.654704,502213.648876
3338529.257885,502212.730979
3338528.861136,502211.813052
3338528.464457,502210.895095
3338528.067846,502209.977108
3338527.671304,502209.059091
3338527.274832,502208.141044
3338526.878428,502207.222968
3338526.482092,502206.304863
3338526.085825,502205.386727
3338525.689626,502204.468563
3338525.293495,502203.550368
3338524.897432,502202.632145
3338524.501437,502201.713892
3338524.105510,502200.795611
3338523.709650,502199.877300
3338523.313857,502198.958960
3338522.918132,502198.040591
3338522.522473,502197.122193
3338522.126882,502196.203767
3338521.731357,502195.285312
3338521.335898,502194.366828
3338520.940506,502193.448315
3338520.545180,502192.529774
3338520.149921,502191.611205
3338519.754727,502190.692607
3338519.359599,502189.773981
3338518.964537,502188.855327
3338518.569540,502187.936644
3338518.174608,502187.017933
3338517.779742,502186.099195
3338517.384940,502185.180428
3338516.990204,502184.261634
3338516.595532,502183.342812
3338516.200925,502182.423962
3338515.806382,502181.505085
3338515.411903,502180.586179
3338515.017489,502179.667247
3338514.623138,502178.748287
3338514.228851,502177.829299
3338513.834628,502176.910285
3338513.440468,502175.991243
3338513.046372,502175.072174
3338512.652339,502174.153077
3338512.258368,502173.233954
3338511.864461,502172.314804
3338511.470616,502171.395627
3338511.076834,502170.476423
3338510.683114,502169.557193
3338510.289457,502168.637936
3338509.895861,502167.718652
3338509.502328,502166.799342
3338509.108856,502165.880005
3338508.715446,502164.960642
3338508.322097,502164.041252
3338507.928810,502163.121837
3338507.535584,502162.202395
3338507.142418,502161.282927
3338506.749314,502160.363433
3338506.356271,502159.443913
3338505.963287,502158.524368
3338505.570365,502157.604796
3338505.177502,502156.685199
3338504.784700,502155.765576
3338504.391957,502154.845927
3338503.999275,502153.926253
3338503.606652,502153.006554
3338503.214088,502152.086829
3338502.821584,502151.167079
3338502.429139,502150.247303
3338502.036753,502149.327503
3338501.644425,502148.407677
3338501.252157,502147.487826
3338500.859947,502146.567951
3338500.467795,502145.648050
3338500.075702,502144.728125
3338499.683666,502143.808175
3338499.291689,502142.888200
3338498.899769,502141.968200
3338498.507907,502141.048176
3338498.116102,502140.128128
3338497.724355,502139.208055
3338497.332665,502138.287958
3338496.941032,502137.367837
3338496.549455,502136.447691
3338496.157936,502135.527521
3338495.766472,502134.607327
3338495.375066,502133.687110
3338494.983715,502132.766868
3338494.592421,502131.846602
3338494.201182,502130.926313
3338493.809999,502130.006000
3338493.418872,502129.085663
3338493.027800,502128.165303
3338492.636784,502127.244920
3338492.245823,502126.324512
3338491.854916,502125.404082
3338491.464065,502124.483628
3338491.073268,502123.563151
3338490.682526,502122.642651
3338490.291838,502121.722128
3338489.901204,502120.801582
3338489.510624,502119.881013
3338489.120098,502118.960421
3338488.729626,502118.039806
3338488.339208,502117.119168
3338487.948843,502116.198508
3338487.558531,502115.277825
3338487.168273,502114.357120
3338486.778067,502113.436392
3338486.387914,502112.515642
3338485.997814,502111.594870
3338485.607766,502110.674075
3338485.217771,502109.753258
3338484.827828,502108.832419
3338484.437937,502107.911558
3338484.048098,502106.990675
3338483.658310,502106.069771
3338483.268574,502105.148844
3338482.878890,502104.227895
3338482.489257,502103.306925
3338482.099675,502102.385934
3338481.710144,502101.464920
3338481.320663,502100.543885
3338480.931234,502099.622829
3338480.541855,502098.701752
3338480.152526,502097.780653
3338479.763247,502096.859533
3338479.374019,502095.938392
3338478.984840,502095.017229
3338478.595711,502094.096046
3338478.206631,502093.174842
3338477.817601,502092.253617
3338477.428621,502091.332371
3338477.039689,502090.411104
3338476.650806,502089.489817
3338476.261972,502088.568509
3338475.873187,502087.647181
3338475.484450,502086.725832
3338475.095762,502085.804463
3338474.707121,502084.883073
3338474.318529,502083.961663
3338473.929984,502083.040233
3338473.541488,502082.118783
3338473.153038,502081.197313
3338472.764637,502080.275823
3338472.376282,502079.354313
3338471.987975,502078.432783
3338471.599714,502077.511234
3338471.211500,502076.589664
3338470.823333,502075.668075
3338470.435212,502074.746467
3338470.047138,502073.824839
3338469.659109,502072.903191
3338469.271127,502071.981524
3338468.883191,502071.059838
3338468.495300,502070.138133
3338468.107455,502069.216408
3338467.719655,502068.294665
3338467.331900,502067.372902
3338466.944191,502066.451121
3338466.556526,502065.529320
3338466.168906,502064.607501
3338465.781331,502063.685663
3338465.393800,502062.763806
3338465.006313,502061.841931
3338464.618871,502060.920037
3338464.231472,502059.998125
3338463.844118,502059.076194
3338463.456807,502058.154245
3338463.069539,502057.232277
3338462.682315,502056.310292
3338462.295134,502055.388288
3338461.907996,502054.466266
3338461.520901,502053.544226
3338461.133849,502052.622168
3338460.746839,502051.700093
3338460.359872,502050.777999
3338459.972947,502049.855888
3338459.586064,502048.933759
3338459.199223,502048.011613
3338458.812424,502047.089449
3338458.425667,502046.167267
3338458.038951,502045.245069
3338457.652276,502044.322852
3338457.265642,502043.400619
3338456.879050,502042.478368
3338456.492498,502041.556100
3338456.105987,502040.633816
3338455.719517,502039.711514
3338455.333087,502038.789195
3338454.946697,502037.866859
3338454.560348,502036.944507
3338454.174038,502036.022138
3338453.787768,502035.099752
3338453.401538,502034.177350
3338453.015347,502033.254931
3338452.629196,502032.332495
3338452.243083,502031.410044
3338451.857010,502030.487576
3338451.470975,502029.565091
3338451.084979,502028.642591
3338450.699022,502027.720074
3338450.313103,502026.797541
3338449.927223,502025.874993
3338449.541380,502024.952428
3338449.155575,502024.029848
3338448.769808,502023.107251
3338448.384079,502022.184639
3338447.998387,502021.262012
3338447.612732,502020.339368
3338447.227115,502019.416710
3338446.841534,502018.494036
3338446.455991,502017.571346
3338446.070483,502016.648641
3338445.685013,502015.725921
3338445.299579,502014.803186
3338444.914181,502013.880435
3338444.528819,502012.957670
3338444.143493,502012.034889
3338443.758202,502011.112094
3338443.372948,502010.189284
3338442.987728,502009.266459
3338442.602544,502008.343619
3338442.217395,502007.420764
3338441.832281,502006.497895
3338441.447202,502005.575012
3338441.062157,502004.652114
3338440.677147,502003.729202
3338440.292171,502002.806275
3338439.907230,502001.883334
3338439.522322,502000.960379
3338439.137448,502000.037410
3338438.752608,501999.114426
3338438.367801,501998.191429
3338437.983028,501997.268418
3338437.598288,501996.345393
3338437.213582,501995.422354
3338436.828908,501994.499302
3338436.444267,501993.576235
3338436.059658,501992.653156
3338435.675082,501991.730062
3338435.290538,501990.806956
3338434.906027,501989.883835
3338434.521547,501988.960702
3338434.137099,501988.037555
3338433.752683,501987.114395
3338433.368298,501986.191222
3338432.983945,501985.268036
3338432.599623,501984.344837
3338432.215332,501983.421625
3338431.831072,501982.498400
3338431.446842,501981.575163
3338431.062644,501980.651912
3338430.678475,501979.728649
3338430.294337,501978.805374
3338429.910229,501977.882085
3338429.526151,501976.958785
3338429.142103,501976.035472
3338428.758084,501975.112146
3338428.374095,501974.188809
3338427.990135,501973.265459
3338427.606205,501972.342097
3338427.222303,501971.418723
3338426.838431,501970.495337
3338426.454587,501969.571939
3338426.070771,501968.648529
3338425.686984,501967.725107
3338425.303225,501966.801674
3338424.919495,501965.878229
3338424.535792,501964.954772
3338424.152117,501964.031304
3338423.768469,501963.107825
3338423.384849,501962.184334
3338423.001257,501961.260831
3338422.617691,501960.337318
3338422.234153,501959.413793
3338421.850641,501958.490257
3338421.467156,501957.566709
3338421.083698,501956.643151
3338420.700265,501955.719582
3338420.316859,501954.796002
3338419.933480,501953.872412
3338419.550126,501952.948810
3338419.166797,501952.025198
3338418.783495,501951.101575
3338418.400218,501950.177942
3338418.016966,501949.254298
3338417.633739,501948.330644
3338417.250537,501947.406979
3338416.867360,501946.483304
3338416.484208,501945.559619
3338416.101080,501944.635924
3338415.717976,501943.712218
3338415.334897,501942.788503
3338414.951841,501941.864777
3338414.568810,501940.941042
3338414.185802,501940.017297
3338413.802818,501939.093542
3338413.419857,501938.169778
3338413.036919,501937.246003
3338412.654005,501936.322220
3338412.271113,501935.398426
3338411.888244,501934.474624
3338411.505398,501933.550812
3338411.122574,501932.626990
3338410.739773,501931.703160
3338410.356993,501930.779320
3338409.974236,501929.855471
3338409.591501,501928.931613
3338409.208787,501928.007746
3338408.826095,501927.083870
3338408.443424,501926.159985
3338408.060774,501925.236092
3338407.678145,501924.312190
3338407.295537,501923.388279
3338406.912950,501922.464359
3338406.530384,501921.540431
3338406.147838,501920.616495
3338405.765312,501919.692550
3338405.382806,501918.768597
3338405.000321,501917.844636
3338404.617855,501916.920666
3338404.235409,501915.996688
3338403.852982,501915.072702
3338403.470574,501914.148709
3338403.088186,501913.224707
3338402.705817,501912.300697
3338402.323466,501911.376680
3338401.941135,501910.452655
3338401.558822,501909.528622
3338401.176527,501908.604581
3338400.794250,501907.680533
3338400.411992,501906.756478
3338400.029751,501905.832415
3338399.647529,501904.908345
3338399.265324,501903.984267
3338398.883136,501903.060183
3338398.500966,501902.136091
3338398.118812,501901.211992
3338397.736676,501900.287886
3338397.354557,501899.363773
3338396.972454,501898.439653
3338396.590368,501897.515526
3338396.208298,501896.591393
3338395.826244,501895.667253
3338395.444206,501894.743106
3338395.062185,501893.818953
3338394.680179,501892.894793
3338394.298188,501891.970627
3338393.916213,501891.046454
3338393.534253,501890.122275
3338393.152309,501889.198090
3338392.770379,501888.273899
3338392.388464,501887.349701
3338392.006564,501886.425497
3338391.624678,501885.501288
3338391.242806,501884.577073
3338390.860949,501883.652851
3338390.479106,501882.728624
3338390.097276,501881.804391
3338389.715460,501880.880153
3338389.333658,501879.955909
3338388.951869,501879.031659
3338388.570094,501878.107404
3338388.188331,501877.183144
3338387.806581,501876.258878
3338387.424845,501875.334607
3338387.043120,501874.410331
3338386.661408,501873.486049
3338386.279709,501872.561763
3338385.898021,501871.637472
3338385.516346,501870.713175
3338385.134682,501869.788874
3338384.753030,501868.864568
3338384.371390,501867.940257
3338383.989761,501867.015941
3338383.608143,501866.091621
3338383.226536,501865.167296
3338382.844940,501864.242967
3338382.463355,501863.318634
3338382.081780,501862.394296
3338381.700216,501861.469953
3338381.318662,501860.545607
3338380.937118,501859.621256
3338380.555584,501858.696901
3338380.174059,501857.772543
3338379.792545,501856.848180
3338379.411039,501855.923813
3338379.029544,501854.999442
3338378.648057,501854.075068
3338378.266579,501853.150690
3338377.885110,501852.226308
3338377.503650,501851.301923
3338377.122198,501850.377534
3338376.740755,501849.453142
3338376.359320,501848.528747
3338375.977893,501847.604348
3338375.596474,501846.679945
3338375.215063,501845.755540
3338374.833659,501844.831131
3338374.452262,501843.906720
3338374.070873,501842.982305
3338373.689491,501842.057888
3338373.308116,501841.133467
3338372.926748,501840.209044
3338372.545387,501839.284618
3338372.164032,501838.360189
3338371.782683,501837.435758
3338371.401340,501836.511324
3338371.020004,501835.586888
3338370.638673,501834.662449
3338370.257348,501833.738008
3338369.876029,501832.813565
3338369.494715,501831.889119
3338369.113406,501830.964671
3338368.732103,501830.040222
3338368.350804,501829.115770
3338367.969510,501828.191316
3338367.588220,501827.266860
3338367.206935,501826.342403
3338366.825655,501825.417943
3338366.444378,501824.493482
3338366.063106,501823.569020
3338365.681837,501822.644555
3338365.300572,501821.720089
3338364.919311,501820.795622
3338364.538053,501819.871154
3338364.156798,501818.946684
3338363.775546,501818.022212
3338363.394297,501817.097740
3338363.013051,501816.173266
3338362.631807,501815.248792
3338362.250566,501814.324316
3338361.869327,501813.399840
3338361.488090,501812.475362
3338361.106855,501811.550884
3338360.725622,501810.626405
3338360.344390,501809.701926
3338359.963160,501808.777446
3338359.581931,501807.852965
3338359.200704,501806.928484
3338358.819477,501806.004002
3338358.438252,501805.079520
3338358.057027,501804.155038
3338357.675802,501803.230555
3338357.294578,501802.306072
3338356.913354,501801.381590
3338356.532133,501800.457113
3338356.150909,501799.532631
3338355.769685,501798.608148
3338355.388462,501797.683665
3338355.007238,501796.759182
3338354.626014,501795.834699
3338354.244790,501794.910217
3338353.863566,501793.985734
3338353.482343,501793.061251
3338353.101119,501792.136768
3338352.719895,501791.212286
3338352.338671,501790.287803
3338351.957447,501789.363320
3338351.576224,501788.438837
3338351.195000,501787.514354
3338350.813776,501786.589872
3338350.432552,501785.665389
3338350.051328,501784.740906
3338349.670105,501783.816423
3338349.288881,501782.891940
3338348.907657,501781.967458
3338348.526433,501781.042975
3338348.145209,501780.118492
3338347.763986,501779.194009
3338347.382762,501778.269527
3338347.001538,501777.345044
3338346.620314,501776.420561
3338346.239091,501775.496078
3338345.857867,501774.571595
3338345.476643,501773.647113
3338345.095419,501772.722630
3338344.714195,501771.798147
3338344.332972,501770.873664
3338343.951748,501769.949181
3338343.570524,501769.024699
3338343.189300,501768.100216
3338342.808076,501767.175733
3338342.426853,501766.251250
3338342.045629,501765.326768
3338341.664405,501764.402285
3338341.283181,501763.477802
3338340.901957,501762.553319
3338340.520734,501761.628836
3338340.139510,501760.704354
3338339.758286,501759.779871
3338339.377062,501758.855388
3338338.995838,501757.930905
3338338.614615,501757.006422
3338338.233391,501756.081940
3338337.852167,501755.157457
3338337.470943,501754.232974
3338337.089719,501753.308491
3338336.708496,501752.384009
3338336.327272,501751.459526
3338335.946048,501750.535043
3338335.564824,501749.610560
3338335.183600,501748.686077
3338334.802377,501747.761595
3338334.421153,501746.837112
3338334.039929,501745.912629
3338333.658705,501744.988146
3338333.277482,501744.063663
3338332.896258,501743.139181
3338332.515034,501742.214698
3338332.133810,501741.290215
3338331.752586,501740.365732
3338331.371363,501739.441250
3338330.990139,501738.516767
3338330.608915,501737.592284
3338330.227691,501736.667801
3338329.846467,501735.743318
3338329.465244,501734.818836
3338329.084020,501733.894353
3338328.702796,501732.969870
3338328.321572,501732.045387
3338327.940348,501731.120904
3338327.559125,501730.196422
3338327.177901,501729.271939
3338326.796677,501728.347456
3338326.415453,501727.422973
3338326.034229,501726.498491
3338325.653006,501725.574008
3338325.271782,501724.649525
3338324.890558,501723.725042
3338324.509334,501722.800559
3338324.128110,501721.876077
3338323.746887,501720.951594
3338323.365663,501720.027111
3338322.984439,501719.102628
3338322.603215,501718.178146
3338322.221992,501717.253663
3338321.840768,501716.329180
3338321.459544,501715.404697
3338321.078320,501714.480214
3338320.697096,501713.555732
3338320.315873,501712.631249
3338319.934649,501711.706766
3338319.553425,501710.782283
3338319.172201,501709.857800
3338318.790977,501708.933318
3338318.409754,501708.008835
3338318.028530,501707.084352
3338317.647306,501706.159869
3338317.266082,501705.235387
3338316.884858,501704.310904
3338316.503635,501703.386421
3338316.122411,501702.461938
3338315.741187,501701.537455
3338315.359963,501700.612973
3338314.978739,501699.688490
3338314.597516,501698.764007
3338314.216292,501697.839524
3338313.835068,501696.915041
3338313.453844,501695.990559
3338313.072620,501695.066076
3338312.691397,501694.141593
3338312.310173,501693.217110
3338311.928949,501692.292628
3338311.547725,501691.368145
3338311.166502,501690.443662
3338310.785278,501689.519179
3338310.404054,501688.594696
3338310.022830,501687.670214
3338309.641606,501686.745731
3338309.260383,501685.821248
3338308.879159,501684.896765
3338308.497935,501683.972282
3338308.116711,501683.047800
3338307.735487,501682.123317
3338307.354264,501681.198834
3338306.973040,501680.274351
3338306.591816,501679.349869
3338306.210592,501678.425386
3338305.829368,501677.500903
3338305.448145,501676.576420
3338305.066921,501675.651937
3338304.685697,501674.727455
3338304.304473,501673.802972
3338303.923249,501672.878489
3338303.542026,501671.954006
3338303.160802,501671.029523
3338302.779578,501670.105041
3338302.398354,501669.180558
3338302.017130,501668.256075
3338301.635907,501667.331592
3338301.254683,501666.407110
3338300.873459,501665.482627
3338300.492235,501664.558144
3338300.111012,501663.633661
3338299.729788,501662.709178
3338299.348564,501661.784696
3338298.967340,501660.860213
3338298.586116,501659.935730
3338298.204893,501659.011247
3338297.823669,501658.086765
3338297.442445,501657.162282
3338297.061221,501656.237799
3338296.679997,501655.313316
3338296.298774,501654.388833
3338295.917550,501653.464351
3338295.536326,501652.539868
3338295.155102,501651.615385
3338294.773878,501650.690902
3338294.392655,501649.766419
3338294.011431,501648.841937
3338293.630207,501647.917454
3338293.248983,501646.992971
3338292.867759,501646.068488
3338292.486536,501645.144006
3338292.105312,501644.219523
3338291.724088,501643.295040
3338291.342864,501642.370557
3338290.961640,501641.446074
3338290.580417,501640.521592
3338290.199193,501639.597109
3338289.817969,501638.672626
3338289.436745,501637.748143
3338289.055521,501636.823660
3338288.674298,501635.899178
3338288.293074,501634.974695
3338287.911850,501634.050212
3338287.530626,501633.125729
3338287.149403,501632.201247
3338286.768179,501631.276764
3338286.386955,501630.352281
3338286.005731,501629.427798
3338285.624507,501628.503315
3338285.243284,501627.578833
3338284.862060,501626.654350
3338284.480836,501625.729867
3338284.099612,501624.805384
3338283.718388,501623.880901
3338283.337165,501622.956419
3338282.955941,501622.031936
3338282.574717,501621.107453
3338282.193493,501620.182970
3338281.812269,501619.258488
3338281.431046,501618.334005
3338281.049822,501617.409522
3338280.668598,501616.485039
3338280.287374,501615.560556
3338279.906150,501614.636074
